"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","APRS - Analog","APRS Mute|APRS Voice|APRS Raw","144.39|144.39|144.39","144.39|144.39|144.39","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"2","ARRG 2","BJJ ARRG 2|COR ARRG 2|GRE ARRG 2|PPM ARRG 2|PSA ARRG 2|PSC ARRG 2|PSY ARRG 2|STB ARRG 2","443.325|444.15|443.1|444.8375|440.8125|441.325|440.5125|443.1","448.325|449.15|448.1|449.8375|445.8125|446.325|445.5125|448.1","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"3","Audio Test 2","ARI Audio Test 2|Audio Test 2|BAW Audio Test 2|BEU Audio Test 2|BEV Audio Test 2|BJJ Audio Test 2|BRE Audio Test 2|CDA Audio Test 2|CHI Audio Test 2|COR Audio Test 2|ELU Audio Test 2|ELV Audio Test 2|EPH Audio Test 2|EVE Audio Test 2|KEC Audio Test 2|KER Audio Test 2|MAZ Audio Test 2|MMH Audio Test 2|MOS Audio Test 2|NBE Audio Test 2|NEB Audio Test 2|OLY Audio Test 2|OSO Audio Test 2|PPM Audio Test 2|SAL Audio Test 2|SKU Audio Test 2|SKV Audio Test 2|SLO Audio Test 2|SME Audio Test 2|SNO Audio Test 2|SPC Audio Test 2|STB Audio Test 2|STI Audio Test 2|TBA Audio Test 2|TIU Audio Test 2|TIV Audio Test 2|TRU Audio Test 2|WEN Audio Test 2","147.4125|441.25|146.5|440.925|146.5|443.325|440.7|440.925|147.4375|444.15|440.925|147.4125|147.4125|440.375|444.7125|441.7|145.21|434|440.925|440.725|444.4875|440.7125|444.15|444.8375|442.8875|444.125|147.4125|444.15|441.325|147.02|444.15|443.1|442.025|441.35|440.7375|147.425|440.725|443.75","146.4125|446.25|147.5|445.925|147.5|448.325|445.7|445.925|146.3375|449.15|445.925|146.4125|146.4125|445.375|449.7125|446.7|147.99|434|445.925|445.725|449.4875|445.7125|449.15|449.8375|447.8875|449.125|146.4125|449.15|446.325|147.62|449.15|448.1|447.025|446.35|445.7375|146.425|445.725|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"4","BayNet 2","BJJ BayNet 2|COR BayNet 2|GRE BayNet 2|MMH BayNet 2|PSA BayNet 2|PSC BayNet 2|PSY BayNet 2|STB BayNet 2","443.325|444.15|443.1|434|440.8125|441.325|440.5125|443.1","448.325|449.15|448.1|434|445.8125|446.325|445.5125|448.1","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"5","BC 1","AMB BC 1|ARI BC 1|BAW BC 1|BEU BC 1|BEV BC 1|BJJ BC 1|BLA BC 1|BRE BC 1|CHI BC 1|COR BC 1|ELU BC 1|ELV BC 1|EPH BC 1|EVE BC 1|GRE BC 1|KEC BC 1|KER BC 1|MAZ BC 1|NEW BC 1|OLY BC 1|OSO BC 1|PSA BC 1|PSC BC 1|PSY BC 1|SCO BC 1|SEY BC 1|SKU BC 1|SKV BC 1|SLO BC 1|SME BC 1|SNO BC 1|STB BC 1|STI BC 1|TBA BC 1|TIU BC 1|TIV BC 1|TRU BC 1|WAR BC 1|WAR BC 1|WAR BC 1|WAR BC 1|WAR BC 1|WAR BC 1|WAR BC 1|WEN BC 1|YAK BC 1","443.85|147.4125|146.5|440.925|146.5|443.325|443.85|440.7|147.4375|444.15|440.925|147.4125|147.4125|440.375|443.1|444.7125|441.7|145.21|444.6|440.7125|444.15|440.8125|441.325|440.5125|441.2875|443.4|444.125|147.4125|444.15|441.325|147.02|443.1|442.025|441.35|440.7375|147.425|440.725|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775|443.75|147.12","448.85|146.4125|147.5|445.925|147.5|448.325|448.85|445.7|146.3375|449.15|445.925|146.4125|146.4125|445.375|448.1|449.7125|446.7|147.99|449.6|445.7125|449.15|445.8125|446.325|445.5125|446.2875|448.4|449.125|146.4125|449.15|446.325|147.62|448.1|447.025|446.35|445.7375|146.425|445.725|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"6","BC 2","AMB BC 2|BLA BC 2|EPH BC 2|NEW BC 2|SEY BC 2","443.85|443.85|147.4125|444.6|443.4","448.85|448.85|146.4125|449.6|448.4","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"7","BC Local Net 1","AMB BC Loc Net 1|BLA BC Loc Net 1|NEW BC Loc Net 1|SEY BC Loc Net 1","443.85|443.85|444.6|443.4","448.85|448.85|449.6|448.4","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"8","Bridge 2","ARI Bridge 2|BAW Bridge 2|BEU Bridge 2|BEV Bridge 2|BJJ Bridge 2|BRE Bridge 2|CDA Bridge 2|CHI Bridge 2|COR Bridge 2|ELU Bridge 2|ELV Bridge 2|EVE Bridge 2|GRE Bridge 2|KEC Bridge 2|KER Bridge 2|MAZ Bridge 2|NEW Bridge 2|OLY Bridge 2|OSO Bridge 2|PSA Bridge 2|PSC Bridge 2|PSY Bridge 2|SCO Bridge 2|SME Bridge 2|SNO Bridge 2|STB Bridge 2|STI Bridge 2|TBA Bridge 2|TIU Bridge 2|TIV Bridge 2|TRU Bridge 2|WEN Bridge 2","147.4125|146.5|440.925|146.5|443.325|440.7|440.925|147.4375|444.15|440.925|147.4125|440.375|443.1|444.7125|441.7|145.21|444.6|440.7125|444.15|440.8125|441.325|440.5125|441.2875|441.325|147.02|443.1|442.025|441.35|440.7375|147.425|440.725|443.75","146.4125|147.5|445.925|147.5|448.325|445.7|445.925|146.3375|449.15|445.925|146.4125|445.375|448.1|449.7125|446.7|147.99|449.6|445.7125|449.15|445.8125|446.325|445.5125|446.2875|446.325|147.62|448.1|447.025|446.35|445.7375|146.425|445.725|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"9","California 1","ARI California 1|BAW California 1|BEU California 1|BEV California 1|BJJ California 1|BRE California 1|CHI California 1|COR California 1|ELU California 1|ELV California 1|EPH California 1|EVE California 1|GRE California 1|KEC California 1|MAZ California 1|MMH California 1|MOS California 1|OLY California 1|OSO California 1|PSA California 1|PSC California 1|PSY California 1|SCO California 1|SME California 1|SPC California 1|STB California 1|TBA California 1|TRU California 1|WEN California 1|YAK California 1","147.4125|146.5|440.925|146.5|443.325|440.7|147.4375|444.15|440.925|147.4125|147.4125|440.375|443.1|444.7125|145.21|434|440.925|440.7125|444.15|440.8125|441.325|440.5125|441.2875|441.325|444.15|443.1|441.35|440.725|443.75|147.12","146.4125|147.5|445.925|147.5|448.325|445.7|146.3375|449.15|445.925|146.4125|146.4125|445.375|448.1|449.7125|147.99|434|445.925|445.7125|449.15|445.8125|446.325|445.5125|446.2875|446.325|449.15|448.1|446.35|445.725|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"10","Canada 2","AMB Canada 2|ARI Canada 2|BAW Canada 2|BEU Canada 2|BEV Canada 2|BLA Canada 2|BRE Canada 2|ELU Canada 2|ELV Canada 2|EVE Canada 2|MAZ Canada 2|NEW Canada 2|OLY Canada 2|SCO Canada 2|SEY Canada 2|SME Canada 2|TBA Canada 2|TRU Canada 2|WEN Canada 2|YAK Canada 2","443.85|147.4125|146.5|440.925|146.5|443.85|440.7|440.925|147.4125|440.375|145.21|444.6|440.7125|441.2875|443.4|441.325|441.35|440.725|443.75|147.12","448.85|146.4125|147.5|445.925|147.5|448.85|445.7|445.925|146.4125|445.375|147.99|449.6|445.7125|446.2875|448.4|446.325|446.35|445.725|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"11","Cascades East 1","ARI Cascad 1|BAW Cascad 1|BEU Cascad 1|BEV Cascad 1|BJJ Cascad 1|BRE Cascad 1|Cascades East 1|CDA Cascad 1|CHI Cascad 1|COR Cascad 1|ELU Cascad 1|ELV Cascad 1|EPH Cascad 1|EVE Cascad 1|GRE Cascad 1|MAZ Cascad 1|MMB Cascad 1|MMP Cascad 1|MMR Cascad 1|MMS Cascad 1|MOS Cascad 1|NBE Cascad 1|OLY Cascad 1|OSO Cascad 1|PPM Cascad 1|PSA Cascad 1|PSC Cascad 1|PSY Cascad 1|SAI Cascad 1|SCO Cascad 1|SKU Cascad 1|SKV Cascad 1|SLO Cascad 1|SME Cascad 1|SNO Cascad 1|SPC Cascad 1|STB Cascad 1|STI Cascad 1|TBA Cascad 1|TIU Cascad 1|TIV Cascad 1|TRU Cascad 1|WAR Cascad 1|WAR Cascad 1|WAR Cascad 1|WAR Cascad 1|WAR Cascad 1|WAR Cascad 1|WAR Cascad 1|WEN Cascad 1","147.4125|146.5|440.925|146.5|443.325|440.7|441.25|440.925|147.4375|444.15|440.925|147.4125|147.4125|440.375|443.1|145.21|434|434|433|434|440.925|440.725|440.7125|444.15|444.8375|440.8125|441.325|440.5125|443.75|441.2875|444.125|147.4125|444.15|441.325|147.02|444.15|443.1|442.025|441.35|440.7375|147.425|440.725|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775|443.75","146.4125|147.5|445.925|147.5|448.325|445.7|446.25|445.925|146.3375|449.15|445.925|146.4125|146.4125|445.375|448.1|147.99|434|434|440|434|445.925|445.725|445.7125|449.15|449.8375|445.8125|446.325|445.5125|448.75|446.2875|449.125|146.4125|449.15|446.325|147.62|449.15|448.1|447.025|446.35|445.7375|146.425|445.725|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775|448.75","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"12","Comm 1","AMB Comm 1|ARI Comm 1|BAW Comm 1|BEU Comm 1|BEV Comm 1|BJJ Comm 1|BLA Comm 1|BRE Comm 1|COR Comm 1|ELU Comm 1|EPH Comm 1|EVE Comm 1|GRE Comm 1|MAZ Comm 1|MOS Comm 1|NEW Comm 1|OLY Comm 1|OSO Comm 1|PSA Comm 1|PSC Comm 1|PSY Comm 1|SCO Comm 1|SEY Comm 1|SME Comm 1|SNO Comm 1|STB Comm 1|TBA Comm 1|TRU Comm 1|WEN Comm 1|YAK Comm 1","443.85|147.4125|146.5|440.925|146.5|443.325|443.85|440.7|444.15|440.925|147.4125|440.375|443.1|145.21|440.925|444.6|440.7125|444.15|440.8125|441.325|440.5125|441.2875|443.4|441.325|147.02|443.1|441.35|440.725|443.75|147.12","448.85|146.4125|147.5|445.925|147.5|448.325|448.85|445.7|449.15|445.925|146.4125|445.375|448.1|147.99|445.925|449.6|445.7125|449.15|445.8125|446.325|445.5125|446.2875|448.4|446.325|147.62|448.1|446.35|445.725|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"13","Comm 2","AMB Comm 2|BLA Comm 2|MAZ Comm 2|NEW Comm 2|OSO Comm 2|SCO Comm 2|SEY Comm 2|TBA Comm 2|YAK Comm 2","443.85|443.85|145.21|444.6|444.15|441.2875|443.4|441.35|147.12","448.85|448.85|147.99|449.6|449.15|446.2875|448.4|446.35|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"14","DMR APRS","BM 431 TS2|BM 432 TS2|BM 433 TS2|BM 434 TS1|BM 434 TS2|BM 435 TS2","431|432|433|434|434|435","431|432|433|434|434|435","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"15","Eph/Analog VHF","145.3100 W7TT","145.31","144.71","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"16","Fusion 2","MAZ Fusion 2|SCO Fusion 2|TBA Fusion 2|TRU Fusion 2","145.21|441.2875|441.35|440.725","147.99|446.2875|446.35|445.725","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"17","Hawaii 1-2","BEV Hawaii 1-2|BRE Hawaii 1-2|EVE Hawaii 1-2|KEC Hawaii 1-2|KER Hawaii 1-2|MAZ Hawaii 1-2|MMH Hawaii 1-2|OLY Hawaii 1-2|OSO Hawaii 1-2|SCO Hawaii 1-2|SLO Hawaii 1-2|SME Hawaii 1-2|TBA Hawaii 1-2|TRU Hawaii 1-2|YAK Hawaii 1-2","146.5|440.7|440.375|444.7125|441.7|145.21|434|440.7125|444.15|441.2875|444.15|441.325|441.35|440.725|147.12","147.5|445.7|445.375|449.7125|446.7|147.99|434|445.7125|449.15|446.2875|449.15|446.325|446.35|445.725|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"18","I-5-1","AMB I-5-1|ARI I-5-1|BAW I-5-1|BEU I-5-1|BEV I-5-1|BJJ I-5-1|BLA I-5-1|BRE I-5-1|COR I-5-1|EVE I-5-1|GRE I-5-1|KEC I-5-1|KER I-5-1|MAZ I-5-1|MMB I-5-1|MMW I-5-1|NBE I-5-1|NEB I-5-1|NEW I-5-1|OLY I-5-1|OSO I-5-1|PPM I-5-1|PSA I-5-1|PSC I-5-1|PSY I-5-1|SAL I-5-1|SCO I-5-1|SEY I-5-1|SKU I-5-1|SKV I-5-1|SLO I-5-1|SME I-5-1|SNO I-5-1|STB I-5-1|STI I-5-1|SUL I-5-1|TBA I-5-1|TRU I-5-1|WAR I-5-1|WAR I-5-1|WAR I-5-1|WAR I-5-1|WAR I-5-1|WAR I-5-1|WAR I-5-1","443.85|147.4125|146.5|440.925|146.5|443.325|443.85|440.7|444.15|440.375|443.1|444.7125|441.7|145.21|434|434|440.725|444.4875|444.6|440.7125|444.15|444.8375|440.8125|441.325|440.5125|442.8875|441.2875|443.4|444.125|147.4125|444.15|441.325|147.02|443.1|442.025|444.4|441.35|440.725|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775","448.85|146.4125|147.5|445.925|147.5|448.325|448.85|445.7|449.15|445.375|448.1|449.7125|446.7|147.99|434|434|445.725|449.4875|449.6|445.7125|449.15|449.8375|445.8125|446.325|445.5125|447.8875|446.2875|448.4|449.125|146.4125|449.15|446.325|147.62|448.1|447.025|449.4|446.35|445.725|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"19","I-84-2","BJJ I-84-2|CDA I-84-2|COR I-84-2|GRE I-84-2|MOS I-84-2|PSA I-84-2|PSC I-84-2|PSY I-84-2|STB I-84-2|TIU I-84-2|TIV I-84-2","443.325|440.925|444.15|443.1|440.925|440.8125|441.325|440.5125|443.1|440.7375|147.425","448.325|445.925|449.15|448.1|445.925|445.8125|446.325|445.5125|448.1|445.7375|146.425","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"20","Idaho 1","BEU Idaho 1|BEV Idaho 1|BJJ Idaho 1|CDA Idaho 1|CHI Idaho 1|COR Idaho 1|ELU Idaho 1|ELV Idaho 1|EPH Idaho 1|GRE Idaho 1|MAZ Idaho 1|PSA Idaho 1|PSC Idaho 1|PSY Idaho 1|SKU Idaho 1|SKV Idaho 1|SLO Idaho 1|SPC Idaho 1|STB Idaho 1|WAR Idaho 1|WAR Idaho 1|WAR Idaho 1|WAR Idaho 1|WAR Idaho 1|WAR Idaho 1|WAR Idaho 1","440.925|146.5|443.325|440.925|147.4375|444.15|440.925|147.4125|147.4125|443.1|145.21|440.8125|441.325|440.5125|444.125|147.4125|444.15|444.15|443.1|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775","445.925|147.5|448.325|445.925|146.3375|449.15|445.925|146.4125|146.4125|448.1|147.99|445.8125|446.325|445.5125|449.125|146.4125|449.15|449.15|448.1|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"21","Idaho ARES 2","CDA Idaho ARES 2","440.925","445.925","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
