"No.","Radio ID","Name","Country","Remarks","Call Type","Call Alert"
"1","31099","APRS 31099 PC","","","Group Call","None"
"2","31418","ARRG 2","","","Group Call","None"
"3","9999","Audio Test 2","","","Group Call","None"
"4","31075","BayNet 2","","","Group Call","None"
"5","3027","BC 1","","","Group Call","None"
"6","103027","BC 2","","","Group Call","None"
"7","3183","BC Local Net 1","","","Group Call","None"
"8","3100","Bridge 2","","","Group Call","None"
"9","3106","California 1","","","Group Call","None"
"10","302","Canada 2","","","Group Call","None"
"11","3191","Cascades East 1","","","Group Call","None"
"12","3777215","Comm 1","","","Group Call","None"
"13","3777216","Comm 2","","","Group Call","None"
"14","3182","Fusion 2","","","Group Call","None"
"15","3115","Hawaii 1-2","","","Group Call","None"
"16","3168","I-5-1","","","Group Call","None"
"17","31419","I-84-2","","","Group Call","None"
"18","3116","Idaho 1","","","Group Call","None"
"19","31160","Idaho ARES 2","","","Group Call","None"
"20","3181","Local 1","","","Group Call","None"
"21","3166","Local 2","","","Group Call","None"
"22","3126","Michigan 1","","","Group Call","None"
"23","103126","Michigan 2","","","Group Call","None"
"24","3130","Montana 2","","","Group Call","None"
"25","3177","Mountain 2","","","Group Call","None"
"26","31301","MPRG 1-2","","","Group Call","None"
"27","31002","Net 2","","","Group Call","None"
"28","3163","North America 2","","","Group Call","None"
"29","3141","Oregon 1","","","Group Call","None"
"30","9998","Parrot 1","","","Group Call","None"
"31","3187","PNW 1","","","Group Call","None"
"32","103187","PNW 2","","","Group Call","None"
"33","31771","PNW Regional 2","","","Group Call","None"
"34","91111","PS1-DNU","","","Group Call","None"
"35","92222","PS2-DNU","","","Group Call","None"
"36","99","Simplex 99","","","Group Call","None"
"37","31328","SNARS 1-2","","","Group Call","None"
"38","31066","SoCal 2","","","Group Call","None"
"39","8951","TAC 1-2","","","Group Call","None"
"40","8952","TAC 2-2","","","Group Call","None"
"41","8953","TAC 3-2","","","Group Call","None"
"42","310","TAC 310-2","","","Group Call","None"
"43","311","TAC 311-2","","","Group Call","None"
"44","312","TAC 312-2","","","Group Call","None"
"45","313","TAC 313-2","","","Group Call","None"
"46","314","TAC 314-2","","","Group Call","None"
"47","315","TAC 315-2","","","Group Call","None"
"48","316","TAC 316-2","","","Group Call","None"
"49","317","TAC 317-2","","","Group Call","None"
"50","318","TAC 318-2","","","Group Call","None"
"51","319","TAC 319-2","","","Group Call","None"
"52","8958","TAC 8-2","","","Group Call","None"
"53","123","TAC Eng 123-2","","","Group Call","None"
"54","9","TG 9","","","Group Call","None"
"55","1776","USA 2","","","Group Call","None"
"56","3149","Utah 2","","","Group Call","None"
"57","3153","Wash 1","","","Group Call","None"
"58","103153","Wash 2","","","Group Call","None"
"59","3161","Worldwide 2","","","Group Call","None"
"60","13","Worldwide Eng 2","","","Group Call","None"
