"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"1","Ariel/Ariel VHF","ARI Audio Test 2|ARI BC 1|ARI Bridge 2|ARI California 1|ARI Canada 2|ARI Cascad 1|ARI Comm 1|ARI I-5-1|ARI Local 1|ARI Local 2|ARI Montana 2|ARI Net 2|ARI North Am 2|ARI Oregon 1|ARI Parrot 1|ARI PNW 1|ARI PNW 2|ARI PS1-DNU|ARI PS2-DNU|ARI TAC 1-2|ARI TAC 310-2|ARI TAC 311-2|ARI TAC 312-2|ARI TAC 313-2|ARI TAC 314-2|ARI TAC 319-2|ARI USA 2|ARI Wash 1|ARI Wash 2|ARI Worldwide 2","147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125","146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125","ARI Audio Test 2","147.4125","146.4125","ARI Audio Test 2","147.4125","146.4125"
"2","BC/Ambleside","AMB BC 1|AMB BC 2|AMB BC Loc Net 1|AMB Canada 2|AMB Comm 1|AMB Comm 2|AMB I-5-1|AMB North Am 2|AMB PNW 1|AMB PNW 2|AMB TAC 310-2|AMB TAC Eng 2|AMB Wash 1|AMB Wash 2|AMB Worldwide 2|AMB WW Eng 2","443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85","448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85","AMB BC 1","443.85","448.85","AMB BC 1","443.85","448.85"
"3","BC/Blackcomb Mtn","BLA BC 1|BLA BC 2|BLA BC Loc Net 1|BLA Canada 2|BLA Comm 1|BLA Comm 2|BLA I-5-1|BLA North Am 2|BLA PNW 1|BLA PNW 2|BLA TAC 310-2|BLA TAC Eng 2|BLA Wash 1|BLA Wash 2|BLA Worldwide 2|BLA WW Eng 2","443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85","448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85","BLA BC 1","443.85","448.85","BLA BC 1","443.85","448.85"
"4","BC/Mt. Seymour","SEY BC 1|SEY BC 2|SEY BC Loc Net 1|SEY Canada 2|SEY Comm 1|SEY Comm 2|SEY I-5-1|SEY North Am 2|SEY PNW 1|SEY PNW 2|SEY TAC 310-2|SEY TAC Eng 2|SEY Wash 1|SEY Wash 2|SEY Worldwide 2|SEY WW Eng 2","443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4","448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4","SEY BC 1","443.4","448.4","SEY BC 1","443.4","448.4"
"5","BC/New Westmin","NEW BC 1|NEW BC 2|NEW BC Loc Net 1|NEW Bridge 2|NEW Canada 2|NEW Comm 1|NEW Comm 2|NEW I-5-1|NEW North Am 2|NEW PNW 1|NEW PNW 2|NEW TAC 310-2|NEW TAC Eng 2|NEW Wash 1|NEW Wash 2|NEW Worldwide 2|NEW WW Eng 2","444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6","449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6","NEW BC 1","444.6","449.6","NEW BC 1","444.6","449.6"
"6","Bellingham UHF","BEU Audio Test 2|BEU BC 1|BEU Bridge 2|BEU California 1|BEU Canada 2|BEU Cascad 1|BEU Comm 1|BEU I-5-1|BEU Idaho 1|BEU Local 1|BEU Local 2|BEU Montana 2|BEU North Am 2|BEU Oregon 1|BEU Parrot 1|BEU PNW 1|BEU PNW 2|BEU PS1-DNU|BEU PS2-DNU|BEU SNARS 1-2|BEU TAC 1-2|BEU TAC 2-2|BEU TAC 310-2|BEU TAC 311-2|BEU TAC 312-2|BEU TAC 313-2|BEU TAC 314-2|BEU TAC 315-2|BEU TAC 316-2|BEU TAC 317-2|BEU TAC 318-2|BEU TAC 319-2|BEU TAC 3-2|BEU TAC Eng 2|BEU USA 2|BEU Wash 1|BEU Wash 2|BEU Worldwide 2|BEU WW Eng 2","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","BEU Audio Test 2","440.925","445.925","BEU Audio Test 2","440.925","445.925"
"7","Bellingham VHF","BEV Audio Test 2|BEV BC 1|BEV Bridge 2|BEV California 1|BEV Canada 2|BEV Cascad 1|BEV Comm 1|BEV Hawaii 1-2|BEV I-5-1|BEV Idaho 1|BEV Local 1|BEV Local 2|BEV Montana 2|BEV Net 2|BEV North Am 2|BEV Oregon 1|BEV Parrot 1|BEV PNW 1|BEV PNW 2|BEV PS1-DNU|BEV PS2-DNU|BEV SNARS 1-2|BEV TAC 1-2|BEV TAC 2-2|BEV TAC 310-2|BEV TAC 311-2|BEV TAC 312-2|BEV TAC 313-2|BEV TAC 314-2|BEV TAC 315-2|BEV TAC 316-2|BEV TAC 317-2|BEV TAC 318-2|BEV TAC 319-2|BEV TAC 3-2|BEV TAC Eng 2|BEV USA 2|BEV Wash 1|BEV Wash 2|BEV Worldwide 2|BEV WW Eng 2","146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5","147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5","BEV Audio Test 2","146.5","147.5","BEV Audio Test 2","146.5","147.5"
"8","Biggs/Juniper Pt","BJJ ARRG 2|BJJ Audio Test 2|BJJ BayNet 2|BJJ BC 1|BJJ Bridge 2|BJJ California 1|BJJ Cascad 1|BJJ Comm 1|BJJ I-5-1|BJJ I-84-2|BJJ Idaho 1|BJJ Local 1|BJJ Montana 2|BJJ Mountain 2|BJJ MPRG 1-2|BJJ Net 2|BJJ North Am 2|BJJ Oregon 1|BJJ Parrot 1|BJJ PNW 1|BJJ PNW 2|BJJ PNW Reg 2|BJJ SNARS 1-2|BJJ SoCal 2|BJJ TAC 1-2|BJJ TAC 2-2|BJJ TAC 310-2|BJJ TAC 3-2|BJJ USA 2|BJJ Utah 2|BJJ Wash 1|BJJ Wash 2|BJJ Worldwide 2|BJJ WW Eng 2","443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325","448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325","BJJ ARRG 2","443.325","448.325","BJJ ARRG 2","443.325","448.325"
"9","Boistfort/BawFaw","BAW Audio Test 2|BAW BC 1|BAW Bridge 2|BAW California 1|BAW Canada 2|BAW Cascad 1|BAW Comm 1|BAW I-5-1|BAW Local 1|BAW Local 2|BAW Montana 2|BAW Net 2|BAW North Am 2|BAW Oregon 1|BAW Parrot 1|BAW PNW 1|BAW PNW 2|BAW PS1-DNU|BAW PS2-DNU|BAW TAC 1-2|BAW TAC 310-2|BAW TAC 311-2|BAW TAC 312-2|BAW TAC 313-2|BAW TAC 314-2|BAW TAC 319-2|BAW USA 2|BAW Wash 1|BAW Wash 2|BAW Worldwide 2","146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5","147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5","BAW Audio Test 2","146.5","147.5","BAW Audio Test 2","146.5","147.5"
"10","Bremerton/Gold","BRE Audio Test 2|BRE BC 1|BRE Bridge 2|BRE California 1|BRE Canada 2|BRE Cascad 1|BRE Comm 1|BRE Hawaii 1-2|BRE I-5-1|BRE Local 1|BRE Local 2|BRE Montana 2|BRE Net 2|BRE North Am 2|BRE Oregon 1|BRE Parrot 1|BRE PNW 1|BRE PNW 2|BRE PNW Reg 2|BRE PS1-DNU|BRE PS2-DNU|BRE SNARS 1-2|BRE TAC 1-2|BRE TAC 2-2|BRE TAC 310-2|BRE TAC 311-2|BRE TAC 312-2|BRE TAC 313-2|BRE TAC 314-2|BRE TAC 315-2|BRE TAC 316-2|BRE TAC 317-2|BRE TAC 318-2|BRE TAC 319-2|BRE TAC 3-2|BRE TAC Eng 2|BRE USA 2|BRE Wash 1|BRE Wash 2|BRE Worldwide 2|BRE WW Eng 2","440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7","445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7","BRE Audio Test 2","440.7","445.7","BRE Audio Test 2","440.7","445.7"
