Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,ARRG 2,Audio Test 2,BC 1,BC 2,BC Local Net 1;BC Loc Net 1,BayNet 2,Bridge 2,California 1,Canada 2,Cascades East 1;Cascad 1,Comm 1,Comm 2,Fusion 2,Hawaii 1-2,I-5-1,I-84-2,Idaho 1,Idaho ARES 2,Local 1,Local 2,MPRG 1-2,Mountain 2,Michigan 1,Michigan 2,Montana 2,Net 2,North America 2;North Am 2,Oregon 1,PNW 1,PNW 2,PNW Regional 2;PNW Reg 2,Parrot 1,PS1-DNU,PS2-DNU,SNARS 1-2,SoCal 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,TAC 313-2,TAC 314-2,TAC 315-2,TAC 316-2,TAC 317-2,TAC 318-2,TAC 319-2,TAC 8-2,TG 9,TAC Eng 123-2;TAC Eng 2,USA 2,Utah 2,Wash 1,Wash 2,Worldwide 2,Worldwide Eng 2;WW Eng 2
Ariel/Ariel VHF;ARI,,High,147.4125,146.4125,1,-,2,1,-,-,-,2,1,2,1,1,-,-,-,1,-,-,-,1,2,-,-,-,-,2,2,2,1,1,2,-,1,1,2,-,-,2,-,-,2,2,2,2,2,-,-,-,-,2,-,-,-,2,-,1,2,2,-
BC/Ambleside;AMB,,High,443.85,448.85,1,-,-,1,2,1,-,-,-,2,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,2,2,2
BC/Blackcomb Mtn;BLA,,High,443.85,448.85,1,-,-,1,2,1,-,-,-,2,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,2,2,2
BC/Mt. Seymour;SEY,,High,443.4,448.4,1,-,-,1,2,1,-,-,-,2,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,2,2,2
BC/New Westmin;NEW,,High,444.6,449.6,1,-,-,1,2,1,-,2,-,2,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,2,2,2
Bellingham UHF;BEU,,High,440.925,445.925,1,-,2,1,-,-,-,2,1,2,1,1,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,2,1,1,2,-,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Bellingham VHF;BEV,,High,146.5,147.5,1,-,2,1,-,-,-,2,1,2,1,1,-,-,2,1,-,1,-,1,2,-,-,-,-,2,2,2,1,1,2,-,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Biggs/Juniper Pt;BJJ,,High,443.325,448.325,1,2,2,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,1,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Boistfort/BawFaw;BAW,,High,146.5,147.5,1,-,2,1,-,-,-,2,1,2,1,1,-,-,-,1,-,-,-,1,2,-,-,-,-,2,2,2,1,1,2,-,1,1,2,-,-,2,-,-,2,2,2,2,2,-,-,-,-,2,-,-,-,2,-,1,2,2,-
Bremerton/Gold;BRE,,High,440.7,445.7,1,-,2,1,-,-,-,2,1,2,1,1,-,-,2,1,-,-,-,1,2,-,-,-,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Chinook/Megler V;CHI,,High,147.4375,146.3375,1,-,2,1,-,-,-,2,1,-,1,-,-,-,-,-,-,1,-,1,2,-,2,-,-,2,2,2,1,1,2,2,1,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,2,-,1,2,2,-
Corbett/Lookout;COR,,High,444.15,449.15,1,2,2,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,1,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Couer d' Alene;CDA,,High,440.925,445.925,1,-,2,-,-,-,-,2,-,-,1,-,-,-,-,-,2,1,2,1,2,2,2,-,-,2,2,-,1,1,2,-,1,-,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,1,2,-,-
Ellens/SunE UHF;ELU,,High,440.925,445.925,1,-,2,1,-,-,-,2,1,2,1,1,-,-,-,-,-,1,-,1,2,-,-,-,-,2,2,2,1,1,2,2,1,1,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,-,2
Ellens/SunE VHF;ELV,,High,147.4125,146.4125,1,-,2,1,-,-,-,2,1,2,1,-,-,-,-,-,-,1,-,1,2,-,-,-,-,2,2,2,1,1,2,2,1,1,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-
Ephrata/Beasley;EPH,,High,147.4125,146.4125,1,-,2,1,1,-,-,-,1,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Everson-Mt Sumas;EVE,,High,440.375,445.375,1,-,2,1,-,-,-,2,1,2,1,1,-,-,2,1,-,-,-,1,2,-,-,-,-,2,2,2,1,-,2,2,1,1,2,-,-,2,2,2,2,2,-,2,2,-,-,-,-,2,-,-,-,2,-,1,2,2,2
Gresham/Hospital;GRE,,High,443.1,448.1,1,2,-,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,1,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Hillsburo/Saddle;PSA,,High,440.8125,445.8125,1,2,-,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,1,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Kelso/Columbia;KEC,,High,444.7125,449.7125,1,-,2,1,-,-,-,2,1,-,-,-,-,-,2,1,-,-,-,1,2,-,2,-,-,-,-,2,1,1,2,-,1,-,-,-,-,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Kelso/Rainier;KER,,High,441.7,446.7,1,-,2,1,-,-,-,2,-,-,-,-,-,-,2,1,-,-,-,1,2,-,2,-,-,-,-,2,1,1,2,-,1,-,-,-,-,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,2,2,-,1,2,2,2
Mazama VHF;MAZ,,High,145.21,147.99,3,-,2,1,-,-,-,2,1,2,1,1,2,2,2,1,-,1,-,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
MM/Bridget 434;MMB,,Low,434,434,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,2,2,-,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,1,1,-,-
MM/HotSpot 434;MMH,,Low,434,434,1,-,1,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,1,1,-,1,-,1,1,-,-,1,-,-,-,1,1,-,-,-,1,1,1,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-
MM/Peter 434;MMP,,Low,434,434,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-
MM/Rex 2Slot;MMR,,Low,433,440,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,1,1,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,2,1,-,2,-,1,2,-,-
MM/Suzy 434;MMS,,Low,434,434,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,1,1,1,1,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,-,-
MM/Wes 434;MMW,,Low,434,434,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,-,-
Moses Lk/Frechmn;MOS,,High,440.925,445.925,1,-,2,-,-,-,-,-,1,-,1,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-
NBend/ValleyCamp;NBE,,High,440.725,445.725,1,-,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,2,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-
Newberg/MtnTopRd;NEB,,High,444.4875,449.4875,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,-,-,1,1,2,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Olympia/Cap Pk;OLY,,High,440.7125,445.7125,1,-,2,1,-,-,-,2,1,2,1,1,-,-,2,1,-,-,-,1,2,-,-,-,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Oso/Frailey;OSO,,High,444.15,449.15,1,-,2,1,-,-,-,2,1,-,1,1,2,-,2,1,-,-,-,1,2,-,2,-,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Portland/MtScott;PSC,,High,441.325,446.325,1,2,-,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,-,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Portland/PPMC;PPM,,High,444.8375,449.8375,7,2,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,2,-,1,1,2,2,1,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Portland/Sylvan;PSY,,High,440.5125,445.5125,1,2,-,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,1,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Prineville/Town,,High,441.25,446.25,1,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,2,2,1,1,2,2,1,-,-,-,-,2,2,-,2,2,2,2,2,-,-,-,-,2,-,-,-,-,-,1,2,2,-
